customer_id,full_name,birth_date,city,segment,join_date
1,Salsabila Prasetya Siregar,1986-06-27,Medan,Mass,2019-06-19
2,H. Zahra Sihombing Adriansyah,1991-06-17,Bandung,Priority,2022-03-23
3,dr. Hasan Padmasari Halimah S.Farm,1972-06-18,Surabaya,Mass,2013-06-27
4,KH. Ani Bagus Hasanah Wibowo S.Farm,1992-09-24,Medan,Mass,2021-01-08
5,dr. Bagus Prasetya Maryati S.E.,1962-01-20,Semarang,Mass,2024-10-31
6,Catur Mandala Siregar,1997-06-01,Medan,Priority,2019-06-30
7,Lanjar Kurniawan Gunarto M.Farm,1992-09-15,Bandung,Priority,2016-03-08
8,R.M. Lukman Michelle Kurniawan Gunarto M.M.,1970-04-10,Bandung,Priority,2010-09-20
9,Hj. Maya Permata Haryanti M.Farm,1999-09-07,Medan,Mass,2024-11-17
10,H. Catur Wacana Haryanti,1979-03-21,Jakarta,SME,2023-02-02
11,R.M. Dian Sitorus Halimah M.Ak,1988-02-23,Medan,Mass,2013-08-03
12,Dt. Ani Sirait Uyainah M.Kom.,1998-08-12,Yogyakarta,Mass,2016-09-23
13,Hj. Ayu Mayasari Uyainah S.Pt,1979-07-03,Bandung,Mass,2013-07-19
14,drg. Anita Putri Sitorus Siregar M.Farm,1999-01-18,Medan,SME,2024-01-18
15,Ani Hasanah Yulianti M.TI.,1974-07-16,Bandung,Mass,2020-12-16
16,Endah Halim Halimah M.Farm,2002-06-23,Bandung,Mass,2021-05-06
17,drg. Hesti Nababan Widiastuti S.Kom,2002-06-22,Medan,Priority,2022-04-24
18,H. Catur Sihombing Uyainah S.E.,1991-12-24,Bandung,Mass,2016-12-28
19,KH. Zahra Rachel Haryanto Purnawati S.Psi,1960-12-10,Jakarta,SME,2023-03-13
20,dr. Irfan Sirait Simbolon S.H.,1963-03-06,Yogyakarta,SME,2021-07-13
21,dr. Yessi Prakasa Suryatmi S.E.,1985-11-05,Yogyakarta,Mass,2020-08-08
22,Drs. Rachel Sirait Narpati S.E.,1978-06-10,Jakarta,Mass,2020-06-22
23,dr. Gabriella Pradipta Sitompul S.E.I,1995-11-29,Bandung,Mass,2016-05-07
24,Hj. Cindy Padmasari Pratama M.Farm,2001-05-31,Jakarta,SME,2020-03-30
25,Hj. Yessi Pradipta Maryati,1967-06-17,Bandung,Mass,2019-02-12
26,drg. Dian Nasyiah Hastuti M.Farm,1971-11-24,Yogyakarta,Priority,2020-03-16
27,dr. Rachel Haryanto Hastuti M.M.,1968-07-08,Jakarta,Mass,2016-08-27
28,Rachel Hutagalung Halimah,1982-07-22,Medan,Mass,2021-11-29
29,Tgk. Talia Olivia Haryanto Widiastuti S.E.I,1978-02-10,Yogyakarta,Mass,2012-09-09
30,dr. Lukman Wacana Gunarto M.TI.,1974-03-11,Semarang,Mass,2015-11-07
31,Tgk. Michelle Padmasari Halimah S.Pt,1960-06-01,Surabaya,Mass,2020-04-12
32,dr. Catur Hidayat Nuraini M.Farm,1999-07-07,Yogyakarta,Mass,2018-04-09
33,Dt. Cindy Hidayat Prasasta S.H.,1983-09-23,Surabaya,Mass,2010-03-06
34,Irfan Hidayat Widiastuti M.M.,1993-04-20,Bandung,Priority,2023-09-12
35,drg. Rachel Prasetya Narpati M.Kom.,1982-09-02,Jakarta,Mass,2020-12-16
36,Restu Prabowo Pranowo,1988-07-30,Jakarta,Mass,2015-11-16
37,Drs. Catur Indah Haryanto Sitompul,1984-06-21,Surabaya,Mass,2010-10-23
38,dr. Talia Sirait Firmansyah M.Farm,2000-04-27,Semarang,SME,2022-04-27
39,Drs. Putri Paiman Prakasa Anggraini,2001-07-11,Bandung,Priority,2022-03-02
40,R.M. Talia Permata Nuraini S.E.,1995-02-04,Semarang,SME,2022-04-25
41,Drs. Lanjar Mandala Kusuma S.Psi,1969-12-23,Bandung,Mass,2014-06-23
42,drg. Nadia Gunawan Gunarto S.Pt,1977-11-15,Semarang,Priority,2017-05-13
43,Rafi Puspasari Adriansyah M.Kom.,1974-11-08,Jakarta,Mass,2010-08-15
44,H. Vera Hutagalung Firmansyah S.Kom,1975-07-04,Surabaya,Mass,2017-01-13
45,R.M. Shania Sirait Hastuti S.Kom,1960-01-28,Surabaya,Mass,2021-08-30
46,Tgk. Lukman Mahfud Sirait Maryati S.Pt,2001-04-20,Surabaya,Priority,2022-12-28
47,drg. Cindy Rahmawati Siregar S.Pd,1978-01-18,Yogyakarta,Priority,2025-08-21
48,drg. Satya Bagus Prabowo Hariyah S.Kom,1987-08-11,Semarang,Priority,2022-10-07
49,Hj. Restu Sihombing Kuswoyo S.Gz,1989-05-14,Yogyakarta,Mass,2017-03-24
50,Dt. Ifa Palastri Halimah S.Psi,1972-09-23,Yogyakarta,Mass,2021-07-24
51,Talia Sinaga Widiastuti,1966-08-11,Semarang,Mass,2010-07-20
52,R.A. Taufan Sinaga Wibowo,1985-10-27,Jakarta,Priority,2014-05-12
53,KH. Lanjar Laksita Sitompul S.E.,1967-11-21,Semarang,Mass,2025-08-10
54,KH. Vera Palastri Melani S.Pt,1989-12-11,Semarang,SME,2021-11-30
55,R.A. Yessi Sihombing Gunarto M.Kom.,1980-01-01,Medan,Mass,2013-07-27
56,Bagus Wacana Gunarto M.Farm,1972-04-26,Jakarta,Mass,2019-11-13
57,Lalita Prasetya Suryatmi M.Farm,1977-03-07,Semarang,Mass,2025-07-25
58,H. Kamila Nasyiah Wijayanti S.Pd,1997-05-12,Semarang,Mass,2020-01-22
